delayed No  ||curr_delay: 9.5043 || Clock cycle: 0 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Input buffer || Delay: 30
delayed No  ||curr_delay: 9.5043 || Clock cycle: 0 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Input buffer || Delay: 30
delayed No  ||curr_delay: 9.5043 || Clock cycle: 0 || Flit:  Tail  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Input buffer || Delay: 30
delayed No  ||curr_delay: 8.9631 || Clock cycle: 0 || Flit:  Head  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: Input buffer || Delay: 30
delayed No  ||curr_delay: 8.9631 || Clock cycle: 0 || Flit:  Body  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: Input buffer || Delay: 30
delayed No  ||curr_delay: 8.9631 || Clock cycle: 0 || Flit:  Tail  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: Input buffer || Delay: 30
delayed No  ||curr_delay: 14.7821 || Clock cycle: 1 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: SA || Delay: 60
delayed No  ||curr_delay: 19.3434 || Clock cycle: 1 || Flit:  Head  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: SA || Delay: 60
delayed No  ||curr_delay: 14.7821 || Clock cycle: 2 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: SA || Delay: 90
delayed No  ||curr_delay: 19.3434 || Clock cycle: 2 || Flit:  Body  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: SA || Delay: 90
delayed Yes ||curr_delay: 33.944 || Clock cycle: 3 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Crossbar || Delay: 120
delayed No  ||curr_delay: 14.7821 || Clock cycle: 3 || Flit:  Tail  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: SA || Delay: 120
delayed Yes ||curr_delay: 34.1831 || Clock cycle: 3 || Flit:  Head  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: Crossbar || Delay: 120
delayed No  ||curr_delay: 19.3434 || Clock cycle: 3 || Flit:  Tail  || Source: 3 || Destination: 1 || Present router: Router 3 || Type: SA || Delay: 120
delayed No  ||curr_delay: 8.7486 || Clock cycle: 4 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 2 || Type: Input buffer || Delay: 150
delayed Yes ||curr_delay: 33.944 || Clock cycle: 4 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Crossbar || Delay: 150
delayed No  ||curr_delay: 8.7486 || Clock cycle: 4 || Flit:  Head  || Source: 3 || Destination: 1 || Present router: Router 2 || Type: Input buffer || Delay: 150
